year,btrim,round
2019,Вінницька область,134.85
2021,Вінницька область,134.51
2019,Волинська область,140.12
2021,Волинська область,137.67
2019,Дніпропетровська область,135.30
2021,Дніпропетровська область,135.68
2019,Донецька область,132.07
2021,Донецька область,131.74
2019,Житомирська область,130.97
2021,Житомирська область,133.55
2019,Закарпатська область,130.17
2021,Закарпатська область,135.27
2019,Запорізька область,133.99
2021,Запорізька область,134.53
2019,Івано-Франківська область,139.31
2021,Івано-Франківська область,138.61
2019,Київська область,135.94
2021,Київська область,137.39
2019,Кіровоградська область,133.74
2021,Кіровоградська область,137.26
2019,Луганська область,130.22
2021,Луганська область,134.68
2019,Львівська область,139.72
2021,Львівська область,141.18
2019,м.Київ,147.47
2021,м.Київ,146.75
2019,Миколаївська область,132.60
2021,Миколаївська область,132.06
2019,Одеська область,129.04
2021,Одеська область,132.50
2019,Полтавська область,134.04
2021,Полтавська область,136.32
2019,Рівненська область,135.47
2021,Рівненська область,137.38
2019,Сумська область,135.59
2021,Сумська область,139.60
2019,Тернопільська область,135.68
2021,Тернопільська область,137.85
2019,Харківська область,139.69
2021,Харківська область,138.92
2019,Херсонська область,136.29
2021,Херсонська область,141.07
2019,Хмельницька область,135.40
2021,Хмельницька область,135.81
2019,Черкаська область,138.54
2021,Черкаська область,136.23
2019,Чернівецька область,132.87
2021,Чернівецька область,135.55
2019,Чернігівська область,136.06
2021,Чернігівська область,139.11
